id_asegurado,segmento,antiguedad_anos,ciudad,numero_polizas,reclamos_12_meses
e744a4e4-1bd1-4cd4-91bc-176e6ebc7767,Riesgo,8,Guayaquil,1,3
287a664d-4f80-4a1d-b307-9fd622c4b8ce,Estandar,3,Manta,1,1
69aaed74-1c47-4f65-94cf-2b991e88d2a5,Riesgo,9,Portoviejo,3,2
33881c7a-0315-459f-8f6d-d61c54bffc42,Riesgo,6,Guayaquil,4,1
4317859c-ce6e-450e-828d-6b57631eb069,Estandar,13,Quito,3,1
869b307e-3e74-4063-96dd-f254eee6797b,VIP,9,Quito,3,2
e8be0d89-b70a-4919-9385-6ddf48460bd6,VIP,12,Portoviejo,2,2
500f641d-74f6-45f1-8c00-def458768ada,VIP,3,Manta,3,3
5774e2cf-d2a1-47e4-b981-895f0ca5bf57,Riesgo,15,Portoviejo,1,1
74256951-c808-4ea1-af38-9612abcb67dc,Riesgo,3,Portoviejo,4,1
509f73b3-022c-43ea-b19c-326a95e67fbc,VIP,14,Cuenca,1,0
48879e99-8cbc-4e62-874b-b7ae0a235523,VIP,4,Portoviejo,4,0
2f9cf87f-31c3-41c6-93e2-15ada76fbb2f,VIP,12,Guayaquil,2,0
907863dd-3c10-4a92-9dec-d8e15b589b3c,Riesgo,12,Manta,2,1
baab79e1-3d98-459f-be53-a60ceffa1398,Riesgo,9,Manta,3,2
a837c521-54f9-4a14-9fc8-105229488d7b,VIP,14,Quito,1,1
ace81208-7cf2-4898-a591-481aca826af6,Riesgo,13,Manta,3,1
aeba7e89-1d8c-4f5c-8fd4-a75e8e8be819,VIP,14,Guayaquil,4,0
187be4b3-3c86-4681-88cd-ddd34298ea4b,Estandar,2,Portoviejo,1,3
eb14f3f2-dd43-472a-91f2-cbe7078a6492,VIP,13,Portoviejo,1,0
b0329b98-3f62-4ae2-b2fa-e3dcd63cbfc5,Estandar,15,Guayaquil,2,0
068487d0-57c7-4435-8ebb-c7d0a27a9aab,VIP,9,Manta,3,3
4ab0b20d-64d6-4ef7-be19-0473eacd539a,VIP,7,Manta,4,0
81b7676b-61f4-4be8-9709-9c5612ff0527,Estandar,1,Cuenca,3,3
cfc4da05-6286-4df5-a93e-2f10097f0c9a,VIP,1,Manta,4,2
19fa39d0-145a-4607-8d4e-8a4852530439,Riesgo,13,Guayaquil,1,1
4bd15ee2-0212-4f39-8596-f10f79baed53,Estandar,5,Manta,4,2
ef00f3a2-5046-433d-97d9-3e5e400d0ee9,Estandar,15,Manta,4,3
692c0f78-b745-42b2-98e3-92795174f853,VIP,3,Portoviejo,3,1
8ec6f6e4-dcd0-4413-aa16-50719118983c,Riesgo,13,Cuenca,1,2
5ed04c50-06cd-42d8-9e16-258a03180135,VIP,8,Cuenca,4,3
d248c765-c88d-4322-94a1-02ac3e736df2,VIP,9,Manta,4,0
f275860d-9182-4464-ba2e-809ec18e90be,Riesgo,7,Quito,2,3
48e5a287-3e24-4aa9-bc0b-cc2369cdd2b6,Estandar,1,Guayaquil,1,3
f19ea4ef-d9b8-46cd-9619-cf2cd1d08db0,VIP,3,Portoviejo,4,1
c4d71643-72e8-4882-8e0a-d65a24479d1b,Estandar,4,Quito,2,2
04fe1dec-f498-42c6-94d4-ea0efce19985,Estandar,9,Quito,4,1
c49c09d4-b463-4be5-ba60-0b3d6643edfd,Estandar,5,Manta,2,1
a581cedf-e0f6-4bcc-bf06-2c6e7f375c1a,Estandar,8,Cuenca,4,0
552ab7e2-00e1-48aa-b4d0-84674a14ae51,VIP,13,Manta,2,1
b1f15dbf-0d6d-4675-af22-e1e17c5b82cb,Riesgo,15,Portoviejo,2,3
198825c8-9d4b-4eb2-801a-57aab263664a,Estandar,1,Quito,2,0
5a56aec6-ed5e-44f0-99dc-497efb4a33af,VIP,10,Quito,2,2
a553b6c6-8ac3-4e68-9fb0-62d25f6bb5d2,Estandar,9,Guayaquil,4,3
7cf788d7-a17e-4701-972e-9548a0993e54,Riesgo,11,Manta,2,3
93196772-b359-4bcd-ad69-9df7708160c9,Estandar,8,Cuenca,1,1
31fdcc52-912b-4b56-b0ad-5a1e40528acf,Estandar,10,Manta,3,1
13526171-314e-4d41-ba7a-23ae864710c7,Riesgo,1,Manta,2,0
48e32c7b-da3a-4896-9fab-d7f6bbbef0bb,Estandar,9,Cuenca,3,3
09d8123c-0d24-4857-b0d5-b36deab7c114,Riesgo,12,Quito,2,0
